from finance.yahoo.com,,,,,,
Date,Open,High,Low,Close,Volume,Adj Close
2011-06-01,196.06,206.25,181.59,204.49,4545900,204.49
2011-05-02,196.57,206.39,190.88,196.69,5223000,196.69
2011-04-01,181.58,197.8,175.37,195.81,6169500,195.81
2011-03-01,173.53,181.57,160.59,180.13,5382800,180.13
2011-02-01,170.52,191.4,169.51,173.29,5397800,173.29
2011-01-03,181.37,191.6,166.9,169.64,6016400,169.64
2010-12-01,179.16,185.65,173.09,180,4414200,180
2010-11-01,164.45,181.84,156.77,175.4,6560600,175.4
2010-10-01,157.08,171.99,151.4,165.23,7042000,165.23
2010-09-01,126.36,161.78,126.17,157.06,6758400,157.06
2010-08-02,119.15,130.81,117.57,124.83,5347500,124.83
2010-07-01,108.9,124.88,105.8,117.89,8685800,117.89
2010-06-01,124.97,129.15,106.01,109.26,6505400,109.26
2010-05-03,137.2,139.44,117.52,125.46,7243200,125.46
2010-04-01,135.8,151.09,130.78,137.1,8530400,137.1
2010-03-01,118.7,138.19,117.53,135.77,7071400,135.77
2010-02-01,123.18,124.86,113.82,118.4,11361400,118.4
2010-01-04,136.25,136.61,118.12,125.41,13701700,125.41
2009-12-01,136.94,145.91,125.65,134.52,9636000,134.52
2009-11-02,118.66,136.08,116.25,135.91,8521200,135.91
2009-10-01,92.5,125.68,88.27,118.81,12814900,118.81
2009-09-01,80.74,94.5,77.51,93.36,6507600,93.36
2009-08-03,86.56,88.2,80.25,81.19,5613600,81.19
2009-07-01,84.42,94.4,75.41,85.76,8243100,85.76
2009-06-01,78.21,88.56,76.25,83.66,7275900,83.66
2009-05-01,80.38,83.6,73.1,77.99,7133700,77.99
2009-04-01,73.02,86.68,71.71,80.52,9217600,80.52
2009-03-02,63.94,75.61,59.82,73.44,10754100,73.44
2009-02-02,58.57,67.36,58.13,64.79,10435100,64.79
2009-01-02,51.35,59.74,47.63,58.82,12192700,58.82
2008-12-01,42,54.85,38.82,51.28,9726600,51.28
2008-11-03,56.35,58.73,34.68,42.7,12185900,42.7
2008-10-01,71.78,71.99,43.31,57.24,14809100,57.24
2008-09-02,83.16,86.77,61.32,72.76,9786200,72.76
2008-08-01,76.36,91.75,74.05,80.81,7322500,80.81
2008-07-01,72.24,82.38,62.99,76.34,10050600,76.34
2008-06-02,81.15,84.88,72.62,73.33,7619500,73.33
2008-05-01,78.4,84.75,71.56,81.62,7516300,81.62
2008-04-01,72.99,82.64,70.65,78.63,9351100,78.63
2008-03-03,63.59,76.93,61.2,71.3,9907700,71.3
2008-02-01,79.02,79.4,63.97,64.47,11144100,64.47
2008-01-02,95.35,97.43,68.84,77.7,15772400,77.7
2007-12-03,90.03,95.94,83.86,92.64,6640800,92.64
2007-11-01,87.75,91.47,76.5,90.56,8908400,90.56
2007-10-01,93.42,101.09,83.27,89.15,10392700,89.15
2007-09-04,79.9,94.26,79.73,93.15,6688700,93.15
2007-08-01,78.1,80.8,70.05,79.91,7898700,79.91
2007-07-02,68.81,89,68.01,78.54,13282400,78.54
2007-06-01,68.9,74.72,66.71,68.41,11624000,68.41
2007-05-01,61.12,73.31,59.7,69.14,15434200,69.14
2007-04-02,39.85,63.84,39.55,61.33,18513300,61.33
2007-03-01,39.32,40.24,37.04,39.79,6734000,39.79
2007-02-01,37.95,42,36.68,39.14,8719000,39.14
2007-01-03,38.68,39.14,36.3,37.67,6885600,37.67
2006-12-01,40.26,40.64,37.7,39.46,6261800,39.46
2006-11-01,38.13,43.25,36.87,40.34,7292700,40.34
2006-10-02,31.98,38.59,30.58,38.09,9804300,38.09
2006-09-01,30.85,32.81,29.68,32.12,7562200,32.12
2006-08-01,26.55,30.99,25.76,30.83,7179700,30.83
2006-07-03,38.52,38.62,25.96,26.89,11835000,26.89
2006-06-01,34.63,38.84,32.42,38.68,5468500,38.68
2006-05-01,35.19,36.5,31.52,34.61,6913300,34.61
2006-04-03,36.67,38.84,35.01,35.21,5802600,35.21
2006-03-01,37.45,37.83,35.14,36.53,5427700,36.53
2006-02-01,43.92,44.69,37.05,37.44,9194500,37.44
2006-01-03,47.47,48.58,43.1,44.82,6373300,44.82
2005-12-01,48.88,50,47.14,47.15,6027000,47.15
2005-11-01,39.97,49.43,39.65,48.46,10684800,48.46
2005-10-03,45.33,47,38.72,39.86,7321900,39.86
2005-09-01,42.52,45.84,40.5,45.3,5274100,45.3
2005-08-01,44.88,46.97,41.91,42.7,5135600,42.7
2005-07-01,33.24,45.81,32.79,45.15,9654600,45.15
2005-06-01,35.57,36.99,32.93,33.09,5088600,33.09
2005-05-02,32.3,36.04,32.1,35.51,5803700,35.51
2005-04-01,34.63,35.34,30.6,32.36,8238800,32.36
2005-03-01,35.06,36.43,32.82,34.27,5596400,34.27
2005-02-01,43,43.54,33.2,35.18,11951400,35.18
2005-01-03,44.95,45.44,40.26,43.22,10062700,43.22
2004-12-01,40,45.68,37.99,44.29,8218400,44.29
2004-11-01,34.22,41.5,34.15,39.68,8357300,39.68
2004-10-01,41.29,42.7,33,34.13,10240900,34.13
2004-09-01,38.23,44.28,37.36,40.86,8837600,40.86
2004-08-02,38.45,40.83,34.85,38.14,8462000,38.14
2004-07-01,53.8,54.04,37.38,38.92,9927000,38.92
2004-06-01,47.87,54.7,47.7,54.4,8007100,54.4
2004-05-03,43.48,48.68,40.55,48.5,8041200,48.5
2004-04-01,43.45,49.1,43.3,43.6,8213200,43.6
2004-03-01,43.02,45.06,39.15,43.28,6932400,43.28
2004-02-02,50.65,50.65,42.23,43.01,10153200,43.01
2004-01-02,52.76,57.82,48.6,50.4,11466900,50.4
2003-12-01,54.4,54.94,47,52.62,9044600,52.62
2003-11-03,54.8,57.49,47.67,53.97,9787400,53.97
2003-10-01,48.37,61.15,47.51,54.43,12867400,54.43
2003-09-02,46.52,51.3,44.73,48.43,10100000,48.43
2003-08-01,41.41,46.95,38.28,46.32,7470300,46.32
2003-07-01,36.33,43.1,34,41.64,10827700,41.64
2003-06-02,36.5,37.24,32.83,36.32,8410200,36.32
2003-05-01,28.68,36.09,28.15,35.89,9572500,35.89
2003-04-01,25.55,29.19,24.13,28.69,10909200,28.69
2003-03-03,22.15,28.04,21.36,26.03,8252700,26.03
2003-02-03,21.94,22.5,19.61,22.01,6348800,22.01
2003-01-02,19.19,23.28,18.55,21.85,8355200,21.85
2002-12-02,24.15,25,18.43,18.89,7673600,18.89
2002-11-01,19.22,24.5,18.2,23.35,10445600,23.35
2002-10-01,16.23,20.26,16.01,19.36,9146100,19.36
2002-09-03,14.71,17.93,14.24,15.93,7763300,15.93
2002-08-01,14.31,15.99,12.78,14.94,5399100,14.94
2002-07-01,16.17,17.16,12.26,14.45,8199600,14.45
2002-06-03,18.31,19.16,14.68,16.25,7442700,16.25
2002-05-01,16.55,20.4,15.75,18.23,7269100,18.23
2002-04-01,14.28,17.05,12.52,16.69,7517200,16.69
2002-03-01,14.13,16.96,13.55,14.3,8397000,14.3
2002-02-01,14.07,14.75,11.06,14.1,8949500,14.1
2002-01-02,10.93,15.77,9.03,14.19,15867800,14.19
2001-12-03,11.02,12.8,9.51,10.82,10924500,10.82
2001-11-01,7.08,12.4,6.6,11.32,15231100,11.32
2001-10-01,5.91,9.99,5.51,6.98,7722700,6.98
2001-09-04,8.95,9.19,5.67,5.97,8920700,5.97
2001-08-01,12.73,12.86,8.55,8.94,4536000,8.94
2001-07-02,14.1,17.42,11.07,12.49,8402700,12.49
2001-06-01,17.22,17.92,11.2,14.15,6723000,14.15
2001-05-01,15.9,17.6,13.1,16.69,7014400,16.69
2001-04-02,10.33,18.16,8.1,15.78,9778000,15.78
2001-03-01,9.88,14,9.56,10.23,7781500,10.23
2001-02-01,17.19,17.19,9.94,10.19,9579100,10.19
2001-01-02,15.81,22.38,13.56,17.31,10998200,17.31
2000-12-01,24.94,27.62,14.88,15.56,10598100,15.56
2000-11-01,35.81,40.88,22.12,24.69,8212400,24.69
2000-10-02,38.19,38.44,19.38,36.62,11666000,36.62
2000-09-01,42.12,49.62,35.5,38.44,7012800,38.44
2000-08-01,30.62,43.97,29.31,41.5,6481700,41.5
2000-07-03,36.69,43.94,27.88,30.12,10400100,30.12
2000-06-01,48.88,58.12,32.47,36.31,9526900,36.31
2000-05-01,56,62.38,40.44,48.31,6253200,48.31
2000-04-03,65.44,68.62,40.81,55.19,8886600,55.19
2000-03-01,67.62,75.25,60,67,7030400,67
2000-02-01,67.5,85.94,63.06,68.88,10730300,68.88
2000-01-03,81.5,91.5,58.44,64.56,13645300,64.56
1999-12-01,87.25,113,76,76.12,11533900,76.12
1999-11-01,68.06,96.88,61,85.06,14025500,85.06
1999-10-01,77,90,65.88,70.62,12571400,70.62
1999-09-01,127,127,57.38,79.94,16793400,79.94
1999-08-02,98.38,135.56,82,124.38,22358100,62.19
1999-07-01,125.25,142.5,97.5,100.06,19081300,50.03
1999-06-01,111.5,129.5,89.75,125.12,17347800,62.56
1999-05-03,166.88,167.06,104.5,118.75,15672400,59.38
1999-04-01,179.38,221.25,151,172.06,18145800,86.03
1999-03-01,127,178,114,172.19,15352300,86.09
1999-02-01,117.75,130,84.25,128.12,18079500,64.06
1999-01-04,327.69,356,92.56,116.94,34881300,58.47
1998-12-01,185.5,361.88,182,321.25,33750700,53.54
1998-11-02,128.13,233.13,120.75,192,34077000,32
1998-10-01,108,129.81,80,126.44,23892100,21.07
1998-09-01,76.12,120,65,111.63,33679300,18.6
1998-08-03,109.75,137.5,83.13,83.75,22933700,13.96
1998-07-01,101.81,147,94.25,110.88,30790300,18.48
1998-06-01,88,104.75,41.25,99.75,27534300,16.62
1998-05-01,92.75,95.87,79.75,88.12,9175500,7.34
1998-04-01,85.25,100,77.12,91.75,17969200,7.65
1998-03-02,75.88,88.25,70,85.53,9699200,7.13
1998-02-02,59.38,79.63,57.25,77,8175100,6.42
1998-01-02,60,64.12,49.75,59,5790100,4.92
1997-12-01,50.87,60.5,49.63,60.25,3155800,5.02
1997-11-03,62.62,62.62,44,49.5,3652600,4.12
1997-10-01,53.25,66,42.25,61,4791900,5.08
1997-09-02,28.12,57.75,27.75,52.06,5386500,4.34
1997-08-01,28.12,29,23.25,28.06,1553700,2.34
1997-07-01,18.5,30.88,18.13,28.75,5003100,2.4
1997-06-02,18.13,20.5,16.5,18.5,2662400,1.54
1997-05-16,23.62,23.75,15.75,18,9477400,1.5
