Date,Open,High,Low,Close,Volume,Adj Close
2003-04-01,14.2,14.95,12.72,14.22,98018000,0.96
2003-03-03,15.01,15.16,14.04,14.14,51012600,0.96
2003-02-03,14.41,15.3,13.8,15.01,56702600,1.02
2003-01-02,14.36,15.38,13.56,14.36,76036400,0.97
2002-12-02,15.9,16.1,13.78,14.33,56323400,0.97
2002-11-01,15.94,17.38,15.01,15.5,58439400,1.05
2002-10-01,14.59,16.44,13.36,16.07,75079000,1.09
2002-09-03,14.49,15.19,14.05,14.5,69119100,0.98
2002-08-01,15.11,16.25,13.97,14.75,60740900,1
2002-07-01,17.71,18.79,13.8,15.26,95785300,1.03
2002-06-03,23.39,23.45,15.98,17.72,112223400,1.2
2002-05-01,24.29,25.98,22.14,23.3,72064200,1.58
2002-04-01,23.38,26.17,23,24.27,76179500,1.64
2002-03-01,21.93,25.3,21.82,23.67,67837900,1.6
2002-02-01,24.34,25.98,20.94,21.7,109136300,1.47
2002-01-02,22.05,24.73,20.25,24.72,106950200,1.67
2001-12-03,21.06,24.03,20.09,21.9,59595200,1.48
2001-11-01,17.65,21.55,17.25,21.3,67543500,1.44
2001-10-01,15.49,19.42,14.83,17.56,84978200,1.19
2001-09-04,18.5,19.08,14.68,15.51,98277200,1.05
2001-08-01,19.01,19.9,17.28,18.55,58111500,1.25
2001-07-02,23.64,25.22,17.85,18.79,105834800,1.27
2001-06-01,20.13,25.1,19.35,23.25,97067300,1.57
2001-05-01,25.41,26.7,19.3,19.95,89901400,1.35
2001-04-02,22.09,27.12,18.75,25.49,145672100,1.72
2001-03-01,17.81,23.75,17.19,22.07,127266000,1.49
2001-02-01,20.69,21.94,18,18.25,99105200,1.23
2001-01-02,14.88,22.5,14.44,21.62,171906700,1.46
2000-12-01,17,17.5,13.62,14.88,118616300,1.01
2000-11-01,19.44,23,16.13,16.5,110690100,1.12
2000-10-02,26.69,26.75,17.5,19.56,258996200,1.32
2000-09-01,61.31,64.13,25.38,25.75,274232100,1.74
2000-08-01,50.31,61.5,44.25,60.94,65822600,4.12
2000-07-03,52.12,60.63,46.87,50.81,73775800,3.44
2000-06-01,81.75,103.94,50.31,52.37,95776100,3.54
2000-05-01,124.87,126.25,81.75,84,116377900,2.84
2000-04-03,135.5,139.5,104.88,124.06,117262900,4.2
2000-03-01,118.56,150.38,114,135.81,98945500,4.59
2000-02-01,104,119.94,97,114.62,96109300,3.88
2000-01-03,104.88,121.5,86.5,103.75,165710700,3.51
1999-12-01,101,118,91.06,102.81,108886600,3.48
1999-11-01,80,103.75,77.31,97.88,112715600,3.31
1999-10-01,62.12,81.06,59.5,80.13,178470800,2.71
1999-09-01,67,80.13,57.44,63.31,236613700,2.14
1999-08-02,55.63,65.88,52.13,65.25,112263000,2.21
1999-07-01,46.31,56.62,45.19,55.69,141068100,1.88
1999-06-01,45,49,42.06,46.31,82521400,1.57
1999-05-03,46.06,50,40.94,44.06,113875400,1.49
1999-04-01,36.06,47.13,33.5,46,206682100,1.56
1999-03-01,34.81,37.12,32,35.94,112764600,1.22
1999-02-01,41.69,41.94,34.5,34.81,115575800,1.18
1999-01-04,42.12,47.31,37.06,41.19,202238400,1.39
1998-12-01,32,41.5,31.62,40.94,149952200,1.38
1998-11-02,37.5,39.38,31.75,31.94,133562600,1.08
1998-10-01,36.75,41.31,28.5,37.12,150551900,1.26
1998-09-01,31.38,40.19,30.62,38.13,98184500,1.29
1998-08-03,34.25,43.75,31,31.19,167727300,1.05
1998-07-01,28.88,38.13,28.5,34.63,126258700,1.17
1998-06-01,26.5,29,25.63,28.69,45919300,0.97
1998-05-01,27.5,31.62,25.63,26.62,87750700,0.9
1998-04-01,27.44,29.63,24.69,27.38,98355200,0.93
1998-03-02,23.56,28,21.62,27.5,123782600,0.93
1998-02-02,18.5,23.88,17.38,23.62,103602200,0.8
1998-01-02,13.63,20,13.5,18.31,129675200,0.62
1997-12-01,17.69,17.94,12.75,13.12,62547100,0.44
1997-11-03,17.56,21.5,16.88,17.75,73536800,0.6
1997-10-01,21.69,24.75,15.87,17.03,72794800,0.58
1997-09-02,22,23.25,21,21.69,44602900,0.73
1997-08-01,17.62,29.56,17.56,21.75,211730600,0.74
1997-07-01,13.94,18.12,12.75,17.5,80070300,0.59
1997-06-02,17,17.13,14,14.25,32660500,0.48
1997-05-01,16.88,18,16.37,16.62,29405200,0.56
1997-04-01,17.62,19.87,16.75,17,46219900,0.57
1997-03-03,16.5,19.37,15.87,18.25,68406100,0.62
1997-02-03,16.88,17.87,15.13,16.25,61790100,0.55
1997-01-02,21.12,22.25,16.5,16.62,105367800,0.56
1996-12-02,24.13,25.5,20.75,20.88,53943200,0.71
1996-11-01,23.37,26.37,23.12,24.13,32795700,0.82
1996-10-01,22,27.75,22,23,65339000,0.78
1996-09-03,24.13,24.62,20.25,22.19,41237400,0.75
1996-08-01,22,25,20.75,24.25,37421600,0.82
1996-07-01,21.12,22.75,16,22,55639400,0.74
1996-06-03,25.88,26,19.62,21,59870300,0.71
1996-05-01,24.38,28.88,23.5,26.13,42801600,0.88
1996-04-01,25.12,26.5,23.75,24.38,35758800,0.82
